ID,Order,Emotion,PrePost,Trial,ITI
004,NNP,Positive,Pre,1,993
004,NNP,Positive,Pre,2,206
004,NNP,Positive,Pre,3,171
004,NNP,Positive,Pre,4,154
004,NNP,Positive,Pre,5,169
004,NNP,Positive,Pre,6,169
004,NNP,Positive,Pre,7,134
004,NNP,Positive,Pre,8,150
004,NNP,Positive,Pre,9,148
004,NNP,Positive,Pre,10,165
004,NNP,Positive,Pre,11,156
004,NNP,Positive,Pre,12,163
004,NNP,Positive,Pre,13,170
004,NNP,Positive,Pre,14,128
004,NNP,Positive,Pre,15,193
004,NNP,Positive,Pre,16,134
004,NNP,Positive,Pre,17,134
004,NNP,Positive,Pre,18,191
004,NNP,Positive,Pre,19,157
004,NNP,Positive,Pre,20,132
004,NNP,Positive,Pre,21,148
004,NNP,Positive,Pre,22,132
004,NNP,Positive,Pre,23,139
004,NNP,Positive,Pre,24,147
004,NNP,Positive,Pre,25,155
004,NNP,Positive,Pre,26,106
004,NNP,Positive,Pre,27,164
004,NNP,Positive,Pre,28,147
004,NNP,Positive,Pre,29,171
004,NNP,Positive,Pre,30,161
004,NNP,Positive,Pre,31,144
004,NNP,Positive,Pre,32,168
004,NNP,Positive,Pre,33,142
004,NNP,Positive,Pre,34,166
004,NNP,Positive,Pre,35,165
004,NNP,Positive,Pre,36,148
004,NNP,Positive,Pre,37,147
004,NNP,Positive,Pre,38,139
004,NNP,Positive,Pre,39,155
004,NNP,Positive,Pre,40,146
004,NNP,Positive,Pre,41,178
004,NNP,Positive,Pre,42,161
004,NNP,Positive,Pre,43,144
004,NNP,Positive,Pre,44,175
004,NNP,Positive,Pre,45,141
004,NNP,Positive,Post,1,1352
004,NNP,Positive,Post,2,87
004,NNP,Positive,Post,3,153
004,NNP,Positive,Post,4,152
004,NNP,Positive,Post,5,152
004,NNP,Positive,Post,6,151
004,NNP,Positive,Post,7,127
004,NNP,Positive,Post,8,151
004,NNP,Positive,Post,9,182
004,NNP,Positive,Post,10,140
004,NNP,Positive,Post,11,164
004,NNP,Positive,Post,12,147
004,NNP,Positive,Post,13,146
004,NNP,Positive,Post,14,138
004,NNP,Positive,Post,15,154
004,NNP,Positive,Post,16,146
004,NNP,Positive,Post,17,138
004,NNP,Positive,Post,18,129
004,NNP,Positive,Post,19,138
004,NNP,Positive,Post,20,146
004,NNP,Positive,Post,21,122
004,NNP,Positive,Post,22,139
004,NNP,Positive,Post,23,147
004,NNP,Positive,Post,24,139
004,NNP,Positive,Post,25,171
004,NNP,Positive,Post,26,137
004,NNP,Positive,Post,27,137
004,NNP,Positive,Post,28,105
004,NNP,Positive,Post,29,122
004,NNP,Positive,Post,30,106
004,NNP,Positive,Post,31,131
004,NNP,Positive,Post,32,147
004,NNP,Positive,Post,33,164
004,NNP,Positive,Post,34,131
004,NNP,Positive,Post,35,107
004,NNP,Positive,Post,36,140
004,NNP,Positive,Post,37,156
004,NNP,Positive,Post,38,131
004,NNP,Positive,Post,39,148
004,NNP,Positive,Post,40,147
004,NNP,Positive,Post,41,148
004,NNP,Positive,Post,42,146
