ID,Order,Condition,Minute,HR,SCR
004,NNP,Resting,1,86,18.48302501
004,NNP,Resting,2,87,11.94587046
004,NNP,Resting,3,89,14.44503463
004,NNP,Resting,4,87,13.53894672
004,NNP,Resting,5,88,7.804276151
004,NNP,Negative,1,90,10.09752278
004,NNP,Negative,2,93,12.06542982
004,NNP,Negative,3,89,12.11670583
004,NNP,Negative,4,89,18.21188057
004,NNP,Negative,5,90,15.13677108
004,NNP,Neutral,1,96,14.33175185
004,NNP,Neutral,2,95,15.30882311
004,NNP,Neutral,3,94,18.02880647
004,NNP,Neutral,4,93,19.38817894
004,NNP,Neutral,5,87,7.273425914
004,NNP,Positive,1,87,13.33491392
004,NNP,Positive,2,87,8.27026046
004,NNP,Positive,3,89,7.14857904
004,NNP,Positive,4,92,14.25974642
004,NNP,Positive,5,89,10.37558578
005,PNN,Resting,1,71,34.92640328
005,PNN,Resting,2,67,3.577981225
005,PNN,Resting,3,69,3.111878816
005,PNN,Resting,4,69,2.479477578
005,PNN,Resting,5,69,1.705604481
005,PNN,Negative,1,74,31.14002301
005,PNN,Negative,2,73,7.706572808
005,PNN,Negative,3,74,10.08015424
005,PNN,Negative,4,76,31.83588398
005,PNN,Negative,5,74,14.20928413
005,PNN,Neutral,1,70,28.86595163
005,PNN,Neutral,2,72,8.083118368
005,PNN,Neutral,3,72,16.20836289
005,PNN,Neutral,4,78,32.15143111
005,PNN,Neutral,5,72,3.400847169
005,PNN,Positive,1,66,42.6303088
005,PNN,Positive,2,69,30.01856633
005,PNN,Positive,3,75,50.59672089
005,PNN,Positive,4,75,26.05621063
005,PNN,Positive,5,69,12.34025212
006,NNP,Resting,1,97,70.72861024
006,NNP,Resting,2,103,50.80850526
006,NNP,Resting,3,100,48.67502122
006,NNP,Resting,4,99,58.02203622
006,NNP,Resting,5,101,79.86065097
006,NNP,Negative,1,94,90.32748179
006,NNP,Negative,2,96,72.16857984
006,NNP,Negative,3,97,55.88065108
006,NNP,Negative,4,100,66.4953014
006,NNP,Negative,5,91,68.54905007
006,NNP,Neutral,1,90,72.92391937
006,NNP,Neutral,2,91,144.8490401
006,NNP,Neutral,3,91,88.48079069
006,NNP,Neutral,4,93,127.30953
006,NNP,Neutral,5,94,96.28430757
006,NNP,Positive,1,84,92.16751502
006,NNP,Positive,2,90,257.8100352
006,NNP,Positive,3,85,91.38890947
006,NNP,Positive,4,82,120.384648
006,NNP,Positive,5,80,81.33462982
008,NNP,Resting,1,79,96.02658415
008,NNP,Resting,2,80,6.104353687
008,NNP,Resting,3,80,7.588003487
008,NNP,Resting,4,82,7.592193931
008,NNP,Resting,5,79,5.542317404
008,NNP,Negative,1,76,55.84559751
008,NNP,Negative,2,76,53.53196421
008,NNP,Negative,3,79,69.62053327
008,NNP,Negative,4,79,233.2630271
008,NNP,Negative,5,76,18.81135136
008,NNP,Neutral,1,65,18.33774806
008,NNP,Neutral,2,72,25.13354591
008,NNP,Neutral,3,73,27.92552534
008,NNP,Neutral,4,72,27.72091257
008,NNP,Neutral,5,70,10.86289143
008,NNP,Positive,1,67,26.39413069
008,NNP,Positive,2,69,51.97720614
008,NNP,Positive,3,69,52.62920864
008,NNP,Positive,4,67,64.59474073
008,NNP,Positive,5,66,64.64172738
011,PNN,Resting,1,33,2.778712708
011,PNN,Resting,2,34,1.207893721
011,PNN,Resting,3,33,0.851299648
011,PNN,Resting,4,33,0.466347459
011,PNN,Resting,5,33,0.466533011
011,PNN,Negative,1,33,2.545940871
011,PNN,Negative,2,33,1.481551015
011,PNN,Negative,3,34,1.37093089
011,PNN,Negative,4,34,0.978455255
011,PNN,Negative,5,34,0.738541322
011,PNN,Neutral,1,34,3.284655506
011,PNN,Neutral,2,33,2.660531619
011,PNN,Neutral,3,34,0.94009926
011,PNN,Neutral,4,34,0.857202664
011,PNN,Neutral,5,36,0.64946527
011,PNN,Positive,1,33,4.649686792
011,PNN,Positive,2,34,1.025735144
011,PNN,Positive,3,34,0.734334325
011,PNN,Positive,4,35,0.994726267
011,PNN,Positive,5,34,1.251123958
013,PNN,Resting,1,72,32.48443047
013,PNN,Resting,2,74,25.22631699
013,PNN,Resting,3,75,45.68597038
013,PNN,Resting,4,74,40.43980177
013,PNN,Resting,5,75,57.57608857
013,PNN,Negative,1,71,10.83147878
013,PNN,Negative,2,70,21.2155489
013,PNN,Negative,3,73,27.35167458
013,PNN,Negative,4,74,17.67585683
013,PNN,Negative,5,70,19.74687987
013,PNN,Neutral,1,70,18.8768995
013,PNN,Neutral,2,73,6.738910011
013,PNN,Neutral,3,73,10.60640168
013,PNN,Neutral,4,72,20.30449246
013,PNN,Neutral,5,72,24.09639032
013,PNN,Positive,1,71,97.05763766
013,PNN,Positive,2,70,42.8643749
013,PNN,Positive,3,74,56.76097455
013,PNN,Positive,4,74,36.44027632
013,PNN,Positive,5,73,46.03817514
014,NNP,Resting,1,89,115.2402324
014,NNP,Resting,2,81,89.09904695
014,NNP,Resting,3,76,71.50748105
014,NNP,Resting,4,76,42.29444233
014,NNP,Resting,5,75,25.55639809
014,NNP,Negative,1,75,75.56995817
014,NNP,Negative,2,81,48.02742279
014,NNP,Negative,3,85,85.33222296
014,NNP,Negative,4,83,64.64286659
014,NNP,Negative,5,68,12.86789752
014,NNP,Neutral,1,73,69.04824014
014,NNP,Neutral,2,78,77.71143441
014,NNP,Neutral,3,77,80.99071024
014,NNP,Neutral,4,79,97.03074177
014,NNP,Neutral,5,72,9.43201958
014,NNP,Positive,1,69,109.2636049
014,NNP,Positive,2,70,35.24560733
014,NNP,Positive,3,74,58.91044786
014,NNP,Positive,4,80,70.58015103
014,NNP,Positive,5,76,66.36188765
015,PNN,Resting,1,69,47.96127485
015,PNN,Resting,2,69,18.05750693
015,PNN,Resting,3,72,13.29461108
015,PNN,Resting,4,72,17.31801921
015,PNN,Resting,5,70,6.264555171
015,PNN,Negative,1,66,51.86483141
015,PNN,Negative,2,65,14.28094765
015,PNN,Negative,3,67,31.79582472
015,PNN,Negative,4,70,45.32652319
015,PNN,Negative,5,68,12.95032007
015,PNN,Neutral,1,70,36.63631766
015,PNN,Neutral,2,68,15.61253014
015,PNN,Neutral,3,70,6.022465897
015,PNN,Neutral,4,71,11.44991507
015,PNN,Neutral,5,69,5.245228901
015,PNN,Positive,1,70,51.09378647
015,PNN,Positive,2,71,8.158575813
015,PNN,Positive,3,75,23.04325781
015,PNN,Positive,4,75,77.43303105
015,PNN,Positive,5,69,14.28495366
018,NNP,Resting,1,78,36.31874305
018,NNP,Resting,2,81,18.20691431
018,NNP,Resting,3,79,17.12058044
018,NNP,Resting,4,80,28.88740217
018,NNP,Resting,5,80,40.35881827
018,NNP,Negative,1,72,11.6831865
018,NNP,Negative,2,72,16.58827574
018,NNP,Negative,3,79,13.11299823
018,NNP,Negative,4,75,68.70156528
018,NNP,Negative,5,77,87.90836242
018,NNP,Neutral,1,72,885.194851
018,NNP,Neutral,2,74,743.1637253
018,NNP,Neutral,3,75,751.4483053
018,NNP,Neutral,4,75,759.7232375
018,NNP,Neutral,5,71,1270.081757
018,NNP,Positive,1,71,90.73321294
018,NNP,Positive,2,74,71.71643531
018,NNP,Positive,3,76,58.31226889
018,NNP,Positive,4,77,69.92885364
018,NNP,Positive,5,73,78.94614063
020,NNP,Resting,1,99,80.24748061
020,NNP,Resting,2,94,57.90048129
020,NNP,Resting,3,91,87.41712022
020,NNP,Resting,4,95,52.37863596
020,NNP,Resting,5,94,73.15901034
020,NNP,Negative,1,89,80.24748061
020,NNP,Negative,2,88,57.90048129
020,NNP,Negative,3,99,87.41712022
020,NNP,Negative,4,92,52.37863596
020,NNP,Negative,5,86,73.15901034
020,NNP,Neutral,1,77,41.94513433
020,NNP,Neutral,2,82,59.34192347
020,NNP,Neutral,3,87,96.71568885
020,NNP,Neutral,4,84,48.60349169
020,NNP,Neutral,5,77,30.16596887
020,NNP,Positive,1,80,46.59715706
020,NNP,Positive,2,81,59.87240496
020,NNP,Positive,3,86,72.48110516
020,NNP,Positive,4,90,55.49768281
020,NNP,Positive,5,78,48.15660343
021,PNN,Resting,1,90,49.61076639
021,PNN,Resting,2,91,29.12743423
021,PNN,Resting,3,84,11.12417881
021,PNN,Resting,4,84,13.8027027
021,PNN,Resting,5,88,20.29981487
021,PNN,Negative,1,75,17.04275901
021,PNN,Negative,2,75,5.778087109
021,PNN,Negative,3,76,5.559763349
021,PNN,Negative,4,78,15.71062742
021,PNN,Negative,5,80,6.051146441
021,PNN,Neutral,1,82,27.40766044
021,PNN,Neutral,2,75,4.149323272
021,PNN,Neutral,3,75,3.994999359
021,PNN,Neutral,4,77,8.76484753
021,PNN,Neutral,5,82,3.7108945
021,PNN,Positive,1,75,74.67429843
021,PNN,Positive,2,77,39.32971854
021,PNN,Positive,3,80,70.45748533
021,PNN,Positive,4,79,43.57080273
021,PNN,Positive,5,78,12.16970912
022,NNP,Resting,1,97,55.25947733
022,NNP,Resting,2,96,34.89701335
022,NNP,Resting,3,97,34.83717024
022,NNP,Resting,4,95,23.39462374
022,NNP,Resting,5,94,44.86028058
022,NNP,Negative,1,93,31.32026542
022,NNP,Negative,2,94,37.70280145
022,NNP,Negative,3,94,38.53202681
022,NNP,Negative,4,97,55.95723604
022,NNP,Negative,5,93,37.37054195
022,NNP,Neutral,1,95,135.4918892
022,NNP,Neutral,2,97,17.79470542
022,NNP,Neutral,3,99,14.37939952
022,NNP,Neutral,4,101,57.8043846
022,NNP,Neutral,5,97,20.02168495
022,NNP,Positive,1,92,10964.36824
022,NNP,Positive,2,96,4461.092996
022,NNP,Positive,3,96,10733.12583
022,NNP,Positive,4,98,8730.357285
022,NNP,Positive,5,98,13236.36278
023,PNN,Resting,1,98,33.56014395
023,PNN,Resting,2,98,80.70146142
023,PNN,Resting,3,96,17.64402064
023,PNN,Resting,4,99,28.9373982
023,PNN,Resting,5,94,18.58765194
023,PNN,Negative,1,72,34.17064579
023,PNN,Negative,2,66,71.39870921
023,PNN,Negative,3,66,4.47378699
023,PNN,Negative,4,70,5.88282268
023,PNN,Negative,5,69,34.79171796
023,PNN,Neutral,1,73,31.59340272
023,PNN,Neutral,2,69,2.465246433
023,PNN,Neutral,3,71,16.82751254
023,PNN,Neutral,4,74,12.78115997
023,PNN,Neutral,5,69,2.348980182
023,PNN,Positive,1,87,11.74436926
023,PNN,Positive,2,86,41.72365603
023,PNN,Positive,3,89,15.73714868
023,PNN,Positive,4,88,23.85636366
