row,ID,second,ECG,EDA
0,Pilot_003,0,32396,5743
1,Pilot_003,0.002,32456,5849
2,Pilot_003,0.004,32484,5791
3,Pilot_003,0.006,32452,5815
4,Pilot_003,0.008,32432,5775
5,Pilot_003,0.01,32530,5735
6,Pilot_003,0.012,32646,5814
7,Pilot_003,0.014,32720,5763
8,Pilot_003,0.016,32848,5743
9,Pilot_003,0.018,32972,5780
10,Pilot_003,0.02,33090,5767
11,Pilot_003,0.022,33228,5737
12,Pilot_003,0.024,33270,5742
13,Pilot_003,0.026,33328,5742
14,Pilot_003,0.028,33338,5904
15,Pilot_003,0.03,33290,5748
16,Pilot_003,0.032,33272,5863
17,Pilot_003,0.034,33268,5808
18,Pilot_003,0.036,33260,5778
19,Pilot_003,0.038,33320,5774
20,Pilot_003,0.04,33520,5754
21,Pilot_003,0.042,33722,5781
22,Pilot_003,0.044,33876,5756
23,Pilot_003,0.046,33896,5741
24,Pilot_003,0.048,33824,5742
25,Pilot_003,0.05,33810,5910
26,Pilot_003,0.052,33856,5826
27,Pilot_003,0.054,33806,5791
28,Pilot_003,0.056,33706,5801
29,Pilot_003,0.058,33588,5817
30,Pilot_003,0.06,33508,5847
31,Pilot_003,0.062,33492,5749
32,Pilot_003,0.064,33452,5745
33,Pilot_003,0.066,33404,5753
34,Pilot_003,0.068,33328,5743
35,Pilot_003,0.07,33258,5748
36,Pilot_003,0.072,33088,5751
37,Pilot_003,0.074,32800,5759
38,Pilot_003,0.076,32590,5775
39,Pilot_003,0.078,32456,5768
40,Pilot_003,0.08,32432,5778
41,Pilot_003,0.082,32428,5785
42,Pilot_003,0.084,32344,5786
43,Pilot_003,0.086,32260,5772
44,Pilot_003,0.088,32292,5797
45,Pilot_003,0.09,32292,5789
46,Pilot_003,0.092,32262,5770
47,Pilot_003,0.094,32252,5791
48,Pilot_003,0.096,32264,5789
49,Pilot_003,0.098,32216,5790
50,Pilot_003,0.1,32176,5785
51,Pilot_003,0.102,32176,5790
52,Pilot_003,0.104,32148,5791
53,Pilot_003,0.106,32136,5777
54,Pilot_003,0.108,32164,5792
55,Pilot_003,0.11,32148,5791
56,Pilot_003,0.112,32104,5792
57,Pilot_003,0.114,32112,5773
58,Pilot_003,0.116,32125,5779
59,Pilot_003,0.118,32153,5793
60,Pilot_003,0.12,32140,5781
61,Pilot_003,0.122,32112,5791
62,Pilot_003,0.124,32108,5800
63,Pilot_003,0.126,32140,5827
64,Pilot_003,0.128,32156,5845
65,Pilot_003,0.13,32162,5872
66,Pilot_003,0.132,32142,5761
67,Pilot_003,0.134,32156,5757
68,Pilot_003,0.136,32170,5767
69,Pilot_003,0.138,32196,5777
70,Pilot_003,0.14,32240,5781
71,Pilot_003,0.142,32148,5791
72,Pilot_003,0.144,32080,5795
73,Pilot_003,0.146,32045,5799
74,Pilot_003,0.148,31970,5785
75,Pilot_003,0.15,31884,5805
76,Pilot_003,0.152,31872,5830
77,Pilot_003,0.154,31952,5844
78,Pilot_003,0.156,32232,5854
79,Pilot_003,0.158,32668,5839
80,Pilot_003,0.16,33177,5847
81,Pilot_003,0.162,33612,5849
82,Pilot_003,0.164,34042,5847
83,Pilot_003,0.166,34510,5850
84,Pilot_003,0.168,35042,5794
85,Pilot_003,0.17,35784,5780
86,Pilot_003,0.172,36446,5761
87,Pilot_003,0.174,36808,5858
88,Pilot_003,0.176,37126,5792
89,Pilot_003,0.178,37446,5766
90,Pilot_003,0.18,37680,5748
91,Pilot_003,0.182,37608,5919
92,Pilot_003,0.184,37192,5791
93,Pilot_003,0.186,36656,5756
94,Pilot_003,0.188,36054,5799
95,Pilot_003,0.19,35248,5777
96,Pilot_003,0.192,34324,5798
97,Pilot_003,0.194,33424,5813
98,Pilot_003,0.196,32432,5800
99,Pilot_003,0.198,31620,5836
100,Pilot_003,0.2,31010,5836
101,Pilot_003,0.202,30554,5827
102,Pilot_003,0.204,30364,5852
103,Pilot_003,0.206,30394,5951
104,Pilot_003,0.208,30500,5771
105,Pilot_003,0.21,30672,5770
106,Pilot_003,0.212,30912,5878
107,Pilot_003,0.214,31121,5851
108,Pilot_003,0.216,31296,5846
109,Pilot_003,0.218,31488,5819
110,Pilot_003,0.22,31666,5819
111,Pilot_003,0.222,31790,5831
112,Pilot_003,0.224,31934,5829
113,Pilot_003,0.226,31990,5849
114,Pilot_003,0.228,32012,5806
115,Pilot_003,0.23,32032,5801
116,Pilot_003,0.232,32094,5771
117,Pilot_003,0.234,32084,5780
118,Pilot_003,0.236,32078,5776
119,Pilot_003,0.238,32040,5962
120,Pilot_003,0.24,32104,5977
121,Pilot_003,0.242,32170,5783
122,Pilot_003,0.244,32189,5778
123,Pilot_003,0.246,32192,5777
124,Pilot_003,0.248,32180,5781
125,Pilot_003,0.25,32224,5787
126,Pilot_003,0.252,32228,5778
127,Pilot_003,0.254,32216,5779
128,Pilot_003,0.256,32272,5815
129,Pilot_003,0.258,32310,5812
130,Pilot_003,0.26,32336,5819
131,Pilot_003,0.262,32356,5863
132,Pilot_003,0.264,32346,5789
133,Pilot_003,0.266,32380,5781
134,Pilot_003,0.268,32418,5785
135,Pilot_003,0.27,32416,5783
136,Pilot_003,0.272,32384,5818
137,Pilot_003,0.274,32380,5814
138,Pilot_003,0.276,32440,5815
139,Pilot_003,0.278,32438,5861
140,Pilot_003,0.28,32468,5793
141,Pilot_003,0.282,32504,5796
142,Pilot_003,0.284,32520,5790
143,Pilot_003,0.286,32508,5800
144,Pilot_003,0.288,32528,5809
145,Pilot_003,0.29,32540,5814
146,Pilot_003,0.292,32576,5813
147,Pilot_003,0.294,32596,5812
148,Pilot_003,0.296,32572,5816
149,Pilot_003,0.298,32632,5826
150,Pilot_003,0.3,32642,5817
151,Pilot_003,0.302,32660,5823
152,Pilot_003,0.304,32676,5828
153,Pilot_003,0.306,32668,5826
154,Pilot_003,0.308,32664,5827
155,Pilot_003,0.31,32694,5819
156,Pilot_003,0.312,32760,5833
157,Pilot_003,0.314,32774,5794
158,Pilot_003,0.316,32744,5799
159,Pilot_003,0.318,32780,5818
160,Pilot_003,0.32,32860,5852
161,Pilot_003,0.322,32878,5941
162,Pilot_003,0.324,32896,5797
163,Pilot_003,0.326,32908,5819
164,Pilot_003,0.328,32922,5833
165,Pilot_003,0.33,32904,5824
166,Pilot_003,0.332,32922,5847
167,Pilot_003,0.334,32933,5842
168,Pilot_003,0.336,32996,5876
169,Pilot_003,0.338,32996,6003
170,Pilot_003,0.34,32997,5795
171,Pilot_003,0.342,33028,5794
172,Pilot_003,0.344,33064,5810
173,Pilot_003,0.346,33090,5832
174,Pilot_003,0.348,33152,5850
175,Pilot_003,0.35,33146,5921
176,Pilot_003,0.352,33132,5974
177,Pilot_003,0.354,33166,5879
178,Pilot_003,0.356,33220,5799
179,Pilot_003,0.358,33234,5798
180,Pilot_003,0.36,33268,5831
181,Pilot_003,0.362,33260,5827
182,Pilot_003,0.364,33320,5842
183,Pilot_003,0.366,33372,5848
184,Pilot_003,0.368,33436,5848
185,Pilot_003,0.37,33496,5829
186,Pilot_003,0.372,33525,5807
187,Pilot_003,0.374,33528,5810
188,Pilot_003,0.376,33580,5855
189,Pilot_003,0.378,33644,5807
190,Pilot_003,0.38,33668,5908
191,Pilot_003,0.382,33704,5830
192,Pilot_003,0.384,33780,5825
193,Pilot_003,0.386,33886,5801
194,Pilot_003,0.388,33870,5796
195,Pilot_003,0.39,33901,6011
196,Pilot_003,0.392,33934,5904
197,Pilot_003,0.394,33960,5852
198,Pilot_003,0.396,33964,5830
199,Pilot_003,0.398,33976,5829
200,Pilot_003,0.4,34050,5797
201,Pilot_003,0.402,34064,5966
202,Pilot_003,0.404,34048,5973
203,Pilot_003,0.406,34100,5921
204,Pilot_003,0.408,34126,5814
205,Pilot_003,0.41,34132,5812
206,Pilot_003,0.412,34084,5828
207,Pilot_003,0.414,34084,5841
208,Pilot_003,0.416,34080,5848
209,Pilot_003,0.418,34114,5862
210,Pilot_003,0.42,34050,5887
211,Pilot_003,0.422,34088,5888
212,Pilot_003,0.424,34008,5929
213,Pilot_003,0.426,34040,5816
214,Pilot_003,0.428,34066,5808
215,Pilot_003,0.43,34040,5820
216,Pilot_003,0.432,33988,5848
217,Pilot_003,0.434,33944,5831
218,Pilot_003,0.436,33884,5847
219,Pilot_003,0.438,33864,5866
220,Pilot_003,0.44,33812,5863
221,Pilot_003,0.442,33760,5888
222,Pilot_003,0.444,33708,5890
223,Pilot_003,0.446,33620,5890
224,Pilot_003,0.448,33590,5878
225,Pilot_003,0.45,33531,5850
226,Pilot_003,0.452,33480,5847
227,Pilot_003,0.454,33429,5820
228,Pilot_003,0.456,33308,5813
229,Pilot_003,0.458,33204,5818
230,Pilot_003,0.46,33128,5950
231,Pilot_003,0.462,33072,5909
232,Pilot_003,0.464,32988,5888
233,Pilot_003,0.466,32982,5881
234,Pilot_003,0.468,32886,5862
235,Pilot_003,0.47,32764,5917
236,Pilot_003,0.472,32766,5914
237,Pilot_003,0.474,32693,5893
238,Pilot_003,0.476,32612,5863
239,Pilot_003,0.478,32538,5862
240,Pilot_003,0.48,32528,5874
241,Pilot_003,0.482,32462,5881
242,Pilot_003,0.484,32424,5904
243,Pilot_003,0.486,32376,5827
244,Pilot_003,0.488,32336,5817
245,Pilot_003,0.49,32320,5826
246,Pilot_003,0.492,32300,5843
247,Pilot_003,0.494,32312,5846
248,Pilot_003,0.496,32336,5831
249,Pilot_003,0.498,32276,5822
250,Pilot_003,0.5,32228,5879
251,Pilot_003,0.502,32234,5861
252,Pilot_003,0.504,32244,5826
253,Pilot_003,0.506,32276,5823
254,Pilot_003,0.508,32270,5826
255,Pilot_003,0.51,32270,5903
256,Pilot_003,0.512,32220,5868
257,Pilot_003,0.514,32218,5855
258,Pilot_003,0.516,32248,5863
259,Pilot_003,0.518,32292,5863
260,Pilot_003,0.52,32256,5862
261,Pilot_003,0.522,32246,5850
262,Pilot_003,0.524,32268,5862
263,Pilot_003,0.526,32272,5856
264,Pilot_003,0.528,32276,5866
265,Pilot_003,0.53,32332,5863
266,Pilot_003,0.532,32404,5846
267,Pilot_003,0.534,32372,5836
268,Pilot_003,0.536,32372,5845
269,Pilot_003,0.538,32376,5861
270,Pilot_003,0.54,32366,5850
271,Pilot_003,0.542,32373,5840
272,Pilot_003,0.544,32418,5822
273,Pilot_003,0.546,32438,5941
274,Pilot_003,0.548,32406,5852
275,Pilot_003,0.55,32412,5827
276,Pilot_003,0.552,32484,5898
277,Pilot_003,0.554,32448,5864
278,Pilot_003,0.556,32448,5836
279,Pilot_003,0.558,32412,5955
280,Pilot_003,0.56,32436,5858
281,Pilot_003,0.562,32458,5845
282,Pilot_003,0.564,32444,5914
283,Pilot_003,0.566,32508,5859
284,Pilot_003,0.568,32496,5840
285,Pilot_003,0.57,32436,5993
286,Pilot_003,0.572,32444,5906
287,Pilot_003,0.574,32452,5879
288,Pilot_003,0.576,32472,5873
289,Pilot_003,0.578,32448,5868
290,Pilot_003,0.58,32504,5867
291,Pilot_003,0.582,32476,5839
292,Pilot_003,0.584,32492,5903
293,Pilot_003,0.586,32456,5863
294,Pilot_003,0.588,32490,5871
295,Pilot_003,0.59,32464,5848
296,Pilot_003,0.592,32432,5832
297,Pilot_003,0.594,32440,5842
298,Pilot_003,0.596,32471,6027
299,Pilot_003,0.598,32482,5962
300,Pilot_003,0.6,32456,5884
301,Pilot_003,0.602,32400,5906
302,Pilot_003,0.604,32498,5913
303,Pilot_003,0.606,32472,5909
304,Pilot_003,0.608,32454,5891
305,Pilot_003,0.61,32464,5864
306,Pilot_003,0.612,32392,5865
307,Pilot_003,0.614,32370,5838
308,Pilot_003,0.616,32454,5845
309,Pilot_003,0.618,32422,5887
310,Pilot_003,0.62,32384,5863
311,Pilot_003,0.622,32490,5849
312,Pilot_003,0.624,32436,5881
313,Pilot_003,0.626,32369,5879
314,Pilot_003,0.628,32342,5924
315,Pilot_003,0.63,32364,5881
316,Pilot_003,0.632,32372,5844
317,Pilot_003,0.634,32406,5873
318,Pilot_003,0.636,32404,5844
319,Pilot_003,0.638,32389,5924
320,Pilot_003,0.64,32378,5865
321,Pilot_003,0.642,32352,5847
322,Pilot_003,0.644,32378,5926
323,Pilot_003,0.646,32373,5869
324,Pilot_003,0.648,32344,5929
325,Pilot_003,0.65,32352,5884
326,Pilot_003,0.652,32330,5872
327,Pilot_003,0.654,32344,5858
328,Pilot_003,0.656,32348,5877
329,Pilot_003,0.658,32380,5844
330,Pilot_003,0.66,32354,5908
331,Pilot_003,0.662,32348,5878
332,Pilot_003,0.664,32340,6042
333,Pilot_003,0.666,32369,5872
334,Pilot_003,0.668,32366,5856
335,Pilot_003,0.67,32406,5852
336,Pilot_003,0.672,32356,5929
337,Pilot_003,0.674,32314,5891
338,Pilot_003,0.676,32298,5878
339,Pilot_003,0.678,32408,5844
340,Pilot_003,0.68,32376,5948
341,Pilot_003,0.682,32367,5884
342,Pilot_003,0.684,32388,5847
343,Pilot_003,0.686,32442,5906
344,Pilot_003,0.688,32386,5862
345,Pilot_003,0.69,32400,5948
346,Pilot_003,0.692,32420,5868
347,Pilot_003,0.694,32426,5847
348,Pilot_003,0.696,32424,5918
349,Pilot_003,0.698,32504,5862
350,Pilot_003,0.7,32608,5850
351,Pilot_003,0.702,32565,5944
352,Pilot_003,0.704,32508,5879
353,Pilot_003,0.706,32480,5882
354,Pilot_003,0.708,32505,5848
355,Pilot_003,0.71,32484,6019
356,Pilot_003,0.712,32458,5879
357,Pilot_003,0.714,32490,5862
358,Pilot_003,0.716,32536,5909
359,Pilot_003,0.718,32730,5846
360,Pilot_003,0.72,32938,5884
