ID,Order,Emotion,Retro_Estimate,Prosp_Estimate
004,NNP,Positive,6.5,51089
004,NNP,Neutral,5,85090
004,NNP,Negative,4,65048
005,PNN,Positive,7,56634
005,PNN,Neutral,6,58890
005,PNN,Negative,7,90949
006,NNP,Positive,7,35917
006,NNP,Neutral,7,48319
006,NNP,Negative,8,59392
008,NNP,Positive,7,34715
008,NNP,Neutral,6,45827
008,NNP,Negative,7,54231
011,PNN,Positive,5,47419
011,PNN,Neutral,7,39251
011,PNN,Negative,5,58124
013,PNN,Positive,4,49438
013,PNN,Neutral,6,74582
013,PNN,Negative,5,93240
014,NNP,Positive,6,67423
014,NNP,Neutral,6,59754
014,NNP,Negative,7,55252
015,PNN,Positive,3,73876
015,PNN,Neutral,4,72870
015,PNN,Negative,4,71299
018,NNP,Positive,5,58840
018,NNP,Neutral,5,78318
018,NNP,Negative,6,67723
020,NNP,Positive,5,74323
020,NNP,Neutral,11,57291
020,NNP,Negative,9,41899
021,PNN,Positive,6,46383
021,PNN,Neutral,5,53630
021,PNN,Negative,5,61371
022,PNN,Positive,5,71563
022,PNN,Neutral,6,61983
022,PNN,Negative,6,64123
023,PNN,Positive,6,51435
023,PNN,Neutral,5.4,59648
023,PNN,Negative,5,60253
101,NNP,Positive,5,90589
101,NNP,Neutral,4.5,79606
101,NNP,Negative,6,63768
102,PNN,Positive,5,49300
102,PNN,Neutral,11,63827
102,PNN,Negative,8,77188
103,NNP,Positive,7.5,67163
103,NNP,Neutral,6.8,55741
103,NNP,Negative,6,45433
104,PNN,Positive,3.5,67407
104,PNN,Neutral,6,61492
104,PNN,Negative,5,68395
106,PNN,Positive,7,49913
106,PNN,Neutral,5,63007
106,PNN,Negative,6,76574
107,NNP,Positive,5,67478
107,NNP,Neutral,4,77020
107,NNP,Negative,4,79142
111,PNN,Positive,6.25,50532
111,PNN,Neutral,4.5,96655
111,PNN,Negative,5,98095
112,NNP,Positive,3,117171
112,NNP,Neutral,3,115700
112,NNP,Negative,2,149520
113,PNN,Positive,4.5,70316
113,PNN,Neutral,5,69364
113,PNN,Negative,5,68801
117,PNN,Positive,4,62332
117,PNN,Neutral,5,59753
117,PNN,Negative,6,69212
118,NNP,Positive,8,43547
118,NNP,Neutral,6,43614
118,NNP,Negative,5,58601
120,NNP,Positive,7,66909
120,NNP,Neutral,9,62221
120,NNP,Negative,7,72352
121,PNN,Positive,11,54766
121,PNN,Neutral,14,54142
121,PNN,Negative,9,77444
122,NNP,Positive,6,68605
122,NNP,Neutral,5,80202
122,NNP,Negative,3,78453
123,PNN,Positive,4.5,51484
123,PNN,Neutral,4,49273
123,PNN,Negative,5,57517
125,PNN,Positive,4,51080
125,PNN,Neutral,6,62925
125,PNN,Negative,6.5,86243
127,PNN,Positive,5,67119
127,PNN,Neutral,6,67126
127,PNN,Negative,4.5,99506
204,PNN,Positive,3,66072
204,PNN,Neutral,3,66948
204,PNN,Negative,4,75466
210,NNP,Positive,4,52950
210,NNP,Neutral,4,66035
210,NNP,Negative,5,57018
211,NNP,Positive,11,75490
211,NNP,Neutral,9,71576
211,NNP,Negative,7,92992
212,NNP,Positive,5,79137
212,NNP,Neutral,4,91542
212,NNP,Negative,4,92535
214,PNN,Negative,5,-82604
214,PNN,Positive,8,45622
214,PNN,Neutral,4,42709
215,NNP,Neutral,5.5,60004
215,NNP,Negative,6,74793
215,NNP,Positive,4.8,91258
216,PNN,Negative,7,61573
216,PNN,Positive,10,73437
216,PNN,Neutral,5,77466
